score,summary,review
1.0,Nasty!!!!,This is the nastiest protein shake I have ever tasted and I have tried plenty! I could not even swallow it because it was so nasty. It does not mix smoothly using a blender bottle or a blender. It might make a decent java shake if you mixed it into ice cream but that kind of defeats the point of having a protein shake!
1.0,Didn't buy it,"I just don't understand how these guys are trying to sell 120 bars in bulk for 115 dollars, while Amazon sells 10 bars for 7 bucks. Just buy 12 boxes from Amazon for 84 dollars. I really would like to see this product in bulk though. Nature valley sells 96 bars for 20 dollars. That's what I want from Cliff."
1.0,"Amount of Grains Correct, Shipped Improperly, Grains Appear Inactive","I received the promised 3+ tablespoons of Milk Kefir grains, but the product was shipped in a plastic tub that had nothing, like tape, to keep it closed during shipment. As a result the product arrived in a plastic lined shipping envelope, but the plastic container had come open and what (if any) liquid was shipped with the product had spilled out along with the grains, inside the envelope, with only a few grains remaining in the plastic tub. Simply adding some cellophane tape or shipping tape around the edges of the plastic tub lid/container would likely have kept the product contained properly during shipping. Also the package was HOT when it arrived. The grains ""looked"" large and healthy, if a little bit crushed, however I have tried making milk Kefir 2-3 times since I received the product, according to the instructions included in the shipment, and the milk curdles very little, even if I leave the grains for two days, instead of just one. I'm hoping the grains are still just in shock. Some grains seem to float while others sink to the bottom of the glass jar filled with fresh whole milk, that I cover using a rubber band and coffee filter, so the mixture can breath at room temperature away from any direct light. Also the grains were in large clumps in the shipment or appeared to be, but now have broken down to much smaller clumps. The color of the grains is close to the color of milk. I'm hoping the grains that sink to the bottom aren't dead or totally inactive, but most milk Kefir makers seem to indicate their grains float on the surface or the milk. I'll try making milk Kefir for one more week, but if the milk still isn't curdling, then I'm afraid these grains arrived dead/inactive and likely never will become active. Any buyers should be forewarned that the seller wants you to pay return shipping for a full refund and says they will not reimburse you for this cost, and this must happen within one week of receiving the product. I purchased water Kefir grains from another seller that were shipped with liquid in a totally sealed plastic bag, that arrived unbroken - they have been making water Kefir successfully in the same environment, so I'm certain that the environmental conditions are not a problem, also those water Kefir grains have since doubled in volume (grown). I am not using metal utensils, only plastic, nylon, or glass (jars, strainers).  It's now September 16, 2012. I had to give up on getting these Milk Kefir grains to work properly (or at all). My Water Kefir grains I had received from another seller are now busting at the seems in productivity. They went from 3-tablespoons to 2.5 quarts of Water Kefir grains by this time. I found a website that told you how to gradually convert Water Kefir grains to Milk Kefir grains, and using this technique I now have very effective working Milk Kefir / Milk Kefir grains. They don't grow as fast as the Water Kefir grains, but they do product Milk Kefir that's delicious and viable."
5.0,"Excellent Mellow Tea, Hot or Cold","This tea is excellent!  I like delicate teas just fine, but Stash's plain Honeybush is pretty bland.  The vanilla flavoring in this tea is subtle enough that you may not recognize it as such, but it rounds out and sweetens the flavor of the honeybush to give it a body that tastes like more than just muddled water.  I don't care for most black tea because I find it bitter, and I fancy this my black tea substitute.  The flavor is warm, mellow, well-rounded, and has just a suggestion of sweetness and depth to it. Tazo Honeybush is also delicious, but has weird mystery ingredients (artifical and natural flavor, anyone?  Mmmm!)  Unlike some of Stash's teas, this is also perfect iced or at room-temperature, with no filmy crust of flavoring and tea dust to form on top.  If you have ever liked a honeybush tea, I am confident you will like this one.  The flavor is also similar to rooibos, if you've tried that, but rooibos has a wider range of flavors it can adopt than honeybush does.  Honeybush is always, as its name suggests, just a bit warm and sweet."
1.0,Watered Down!,I thought I would be getting a pure version of Agave at a great price until I tried it. This stuff is so diluted compared to other agave's! No wonder why it is so cheap. Compare it with Volcanic Nectar's Agave Nectar and you will/can never go back!
1.0,Very bad quality,"Last week I purchased this product and after popping a couple of times I threw it in the garbage (all six packs). This popcorn is old, stale, and many kernels has black spots on them. The taste is terrible."
1.0,Saddest looking almonds EVER!,"Ok, so first of all -- the package in the picture says RAW, and received packaging DOES NOT! So obviously is a mislead. The almonds I buy from the grocery store are not organic, cost less than half, and they taste/look far better than these... Sun Ridge almonds are very small, wrinkly and dry... So disappointed, asking for refund, and never buying that brand again! If you think they're great -- you either have never tasted fresh, good quality almonds, or I just received a awful bad batch..."
5.0,So glad I ordered these!,"Best snack I've had since Celiac diagnosis! I sometimes have one as a quick breakfast, too, they're very filling! Thank you, Nature Valley!"
5.0,These are AWESOME.,"Insanely delicious.  Texture and taste are phenomenal, they are incredibly satisfying (and don't leave you feeling mildly nauseous like actual junk food) and the ingredients are just marvelous.  Mmmm mmm."
1.0,disappointing,"Perhaps the worst bottle of wine I've ever had. I'm not even sure I would cook with this. It is thin, no body, and a transparent color not characteristic of a good pinot.  The taste is just bitter - not the complexity that I expect from a pinot noir of any price. Just not what I'm looking for even in a low to mid price pinot noir. Maybe my bottle wasn't sealed well and went to vinegar - other reviews for this wine are favorable."
5.0,Great Gum,This gum is great. It has a great taste and lasts a long-long time. There is not another gum on the market that compares to it.
1.0,You Don't Get The Flavors You're Expecting,I just opened the box... and the flavors inside are NOT AT ALL what's pictured in the product description photo.  I'm really disappointed and feel like I have no recourse.  Money down the drain for flavors I won't drink... and I'm bummed I don't get to try the flavors I thought I would.
5.0,Another great Nylabone product,"I have a very aggressive chewer, and Nylabone products are a favorite in my house.  This one isn't one of the best, but still a toy that will last a long time.  Just what we need here."
5.0,Great purchase,"My fav brand of coconut milk...arrived quickly and in good shape, no dented cans as other complaints.  Will buy again for sure!"
1.0,These are awful.,These bags stink like chemicals when opening.  The smell is horrible.  The taste of the pretzels have the stench as well.  Amazon is shipping a replacement order that will arrive tomorrow.  Will update my review upon receiving the new batch.  1/28/2012- unfortunately the replacement order is the exact as the first. Something is not right with these pretzels. The chemical smell is so strong.  Amazon is refunding my purchase.
1.0,SHORT expiration date,"The case of 6 I received expires June of 2010. Amazon strikes again. I have read about Amazon shipping nearly expired products, but never had it happen to me. I don't know how they get away with it. Description should show almost exired. Very bad business on Amazon's part.   I can live with the short expiration date, I've eaten alot of expired products! All the boxes I've made the potatoes are still hard even after you've cooked it twice as long! So it STILL gets a 1*!!!"
5.0,Zing Zang Bloddy Mary Mix,I Must Say I used to live in Myrtle Beach 4 years ago and this is when I first tried the Zing Zang Bloody Mary Mix!! And I was hooked I would drink a bottle almost everyday Well if not everyday every other day. It Is The BEST!! Then I moved back to my home town Pittsburgh and I was searching every were and I finally was able to find it here I was Soooo Happy!! I have all of my family and friends hooked on this product Never Change the ingredients Or anything about it. IT IS THE BEST MIX ON EARTH. Thank You for Your Time
5.0,Fabulous!!!!!!!,"Once you taste this oatmeal, you will NEVER go back to another brand! I like to make it the night before and let it sit in the fridge overnight, so the flavors of brown sugar and cinnamon (that I add) marinate and it softens just a bit. It is wonderful this way! My whole family is HOOKED!"
1.0,Not up to par for my tastebuds,"I am one of the biggest Starbucks fans and have tried nearly every blend of coffee bean they have.  While I am not a huge fan of flavored coffees due to the nature of the artificial flavoring they add when Starbucks came out with ALL NATURAL Fusions I was intrigued. I have tried all three blends they offer: cinnamon, vanilla and caramel. Caramel blew me away and I loved it and the description on the bag of vanilla had me guessing it would be the same subtle syrupy sweetly decadent taste that I would like. Not even close.  The vanilla did not impress me at all the while the scent of the coffee smelled heavenly and even my kids remarked on it, the flavor was off putting. The aftertaste made me grimace and I slogged my way through the first cup and offered one to my husband who did not like it either. We poured the rest of the pot out.  I took to to work and brewed a pot and two of my coworkers loved it so to each their own. I would not buy this flavor again or the cinnamon but I have bought multiple bags of the caramel.  I am glad Starbucks is making natural flavored coffees and is a leader in the industry by being the first to do so."
1.0,Worst tea I have ever tasted,"I made a mistake of buying this tea during Christmas time and did the ultimate mistake of gifting some of the the individual packs to others. Worst tea I have ever tasted. French vanilla and Key lime tea??  (Really??). Not that the other flavors were any good - for both white and green tea. And yes, as the other researcher mentioned, the jasmine tea is bad as well. overall, a total waste of money."
1.0,Picky Kitty,"My cat deemed these treats fit for hockey games only.  He wouldn't eat them, but had no problems shooting them under my couch."
5.0,Top Quality Dried Bing Cherries,"Dried Bing Cherries are usually quite expensive to buy and can be overly dehydrated making them tasteless and like little rocks. These ones were very reasonably priced and exceptionally tasty and moist. I love them. Yes, they are good for you too!"
1.0,EAT REAL PASTA AND RUN 5 MILES- MUCH LESS TORTURE THAN EATING THESE,"I read about these forever on Hungry-Girl.com and I've always wanted to try them, they rave and rave and rave about them. She obviously gets a kick back from all of the products she markets on her site. I would be curious to see if SHE actually eats these. First of all I will say I can eat almost anything. I can fix taste and I eat diet food even if the taste is compromised, like fat free cheese.  The texture of these noodles weren't the worst part. Yes, they are slimy (almost like noodles that have been sitting in water way to long) because they come preserved in a fluid. So they are rubbery and slimy. Not the worst part though. The worst part is when you open the bag, it smells horribly of FISH- GROSS! I almost gagged. I rinsed them and cooked them in a pan with a little olive oil, cracked black pepper, fresh garlic to try and mask the smell, some parmesan cheese & tomatoes. From the first bite I expected it to taste like fish, but it wasn't a fishy taste. It tastes like you are eating noodles covered in soap. I know that sounds odd. It was NOT my dish, I have tried these a few times (fettuccine, spaghetti and other ones) and each and every time, strong fish smell, slimy noodles and soapy taste.  NOT WORTH SAVING SOME CALORIES AND CARBS if you have to gag the food down. It would be less torture to go run 5 miles and just eat pasta.  You will more than likely lose weight if you eat these, either from vomiting them back up or not being able to eat more than one bite. My appetite was ruined after I tried these. So if you are into some kind of ancient Chinese torture methods of eating then these may be for you."
1.0,rip off,"First of all, one tea bag does not make more than one cup (unless you like the taste of slightly tinted hot water). Second, the price is outrageous. Third, the taste is mediocre. Fourth, where is the list of ingredients?  A list of nutritional values is not an ingredients list! Fifth, the list of nutritional values is for the entire box of tea, not per bag. This expensive tea is a rip off.  Be wise about what you buy and don't buy marketing hype."
5.0,Entirely pleased with this product,"I did a lot of research about the different tuna species sold in canned form -- which are healthiest, which have less mercury, which are overly harvested, etc.  This was one of the few that I feel comfortable and safe eating.  It has a great flavor and firm texture. I buy the unsalted variety.  It's not the kind that dissipates into mush when you add it to things.  I can add it to a stir-fry, casserole, or sandwich, and it always holds together in chunks.  I would highly recommend it.  Also, I contacted the company to ask a couple questions, and they were very friendly and happy to assist me."
1.0,Smuckers Natural Peanut Butter,"Beware.  This is a 16oz jar not 26 Oz jar. A jar of this on the grocer's shelf is 3.19-3.69. I think this item is mis-priced --OR-- the company meant to package 2 Jars together for 8.99 which makes more sense. Otherwise it's delicious!  M in Bethesda, MD"
1.0,Struck Out,"I'm trying to find coffee I can order over the internet for a reasonable price.  The cost for shipping is usually the problem, so added it on to another order to get it shipped free.  The other order came in good time.  It took the coffee close to a month before it arrived.  It tasted like it'd been sitting in a warehouse the whole time; definitely not fresh.  The roast was also not dark enough for espresso.  Poor delivery, poor product.  This was not my usual Amazon experience."
1.0,Yuk,I bought these because Amazon was running a sale and with the subscribe and save they were cheaper than the big pack of Twizzlers sold at Sam's Club.  These taste nothing like Twizzlers and leave an after taste in my mouth. Needless to say I cancelled my subscribe and save. Now what to do with 4 pounds of nasty tasting candy.
5.0,tasty and healthy!,Tastes great plain or with milk.  I like it because it's sweeter tasting and has more fiber than other fiber cereals.  Fiber one caramel clusters are good too.
1.0,Real Customer,"I love coffee.  I have been working with whole beans for over 10 years and this is the worst coffee beans I have every used.  It produces a musty weak undrinkable disappointing brew.  The sad part, I paid over $40. and I can't return it."
5.0,What a great deal!,"Any fan of quality Hungarian or Spanish Paprika knows that it's expensive to buy by the can, especially if you use it regularly.  I use a lot of sweet paprika to make my BBQ rub so I couldn't pass up on this deal when I came across it.  I even gave a few cans to family and friends."
5.0,YUM!,"You can't go wrong with this bold, rich coffee.  This is all we drink around here as far as coffee goes.  Guests always ooooh and ahhhh over it!"
5.0,"Great ""no brainer"" lunch or dinner","Way too good to be a microwave meal.  I was raised on Italian food, and never thought I would like a boyardee meal.  Was I wrong!  Great taste, fills you up just right.  Try it once and you will be hooked!"
1.0,Never ordering cat food online ever again!!!,"I ordered this for my 17 year old cat. She only has one tooth and is very finicky. She will only eat the seafood pate of Friskies. I thought the purchase was a great deal since it was cheaper than Walmart and I could have it delivered to my house for a free price. I thought this was a good idea. Well, I was wrong. My housemate and I wondered what that godawful smell was. After weeks of dealing with cockroaches scurrying under furniture and fruit flies perching everywhere, I found out where they were breeding. One of the cans arrived banged up and maggots decided to call it home. You think fresh cat food smells bad? I brought home a premature infant and was afraid of all of the germs that infested the place at the time. I did not want a single risk posed to him getting sick. So I kept him in his room until I found out where the funk was coming from. The moral of this story is unless you don't mind infestation and possible contamination, don't order cat food online."
1.0,nuts,If you go to Costco or Sam's club you will get Coca-Cola 32/12 oz for $10.96 . Same for the 7.5 oz cans (no longer 8 oz by Coke). Why would you do this?
1.0,Yuck!,"I decided to try amaranth flour because it sounded like it had so much good nutritive value to it but yuck, it tasted like wet cornsilk...ick, ick, ick!!  I love Barry Farms selection but they are slow in getting their products to you, and although their quality is good they tack on quite a bit of shipping, but if you can't find what you want anywhere else with less shipping, Barry Farms has a good selection and like I said their quality is good. I will pass on amaranth flour next time though as I could even taste the amaranth flour in my flour mixes.  It had a strong flavor and smell, one that I couldn't get past, so I threw it out.  I'll stick to all my other gluten free flours that I really like and there are others that have good nutritive value as well like quinoa flour."
1.0,balsamic glaze,"Wow, worst tasting balsamic ever. So disappointed in it. Tastes like pure sugar. Will probably end up throwing it away."
5.0,Delicious and low-cal!,"The new Crystal Light Mocktails are a flavorful new addition to the popular drink line. Each container hcomes with 5 packets. Empty into a large plastic or glass pitcher, add tequila, a little lime juice, about 3 cups of water and then some ice. If you are looking for the full margarita experience, a salted glass is a nice touch. Volia! Perfection! With only 5 calories, this can't be beat.  In terms of flavor, it is absolutely delicious. I am looking forward to trying the other flavors."
5.0,excellent feta cheese,This is the real mild true French feta I used to get at the International Food Bazaar in San Jose California and it arrived wrapped really well and in the brine which is very important to keep it fresh.  Prompt service! Will buy again!
1.0,Product Quality lacking,"In one box, four of the ten stix were only partially filled.  I had to use all four to get the flavor of one properly filled stix. I have not yet checked the other boxes but plan to do so and inform Arizona their product quality is lacking."
5.0,Excellent flavor,"The smell when first opening the canister can be strong, however once brewed it is perfect. It is  not too strong of a chai or coconut flavors, but strikes a wonderful balance between the two. I will likely buy the flavor again when this one runs out."
1.0,"Very cheap product, have had to get replacements many times!","I have never reviewed an item before, but taking the time to review the Baby Brezza because of the unfortunate experiences I have had with this product and to warn people not to spend $100 on such a poorly made product.. I read multiple reviews on the Baby Brezza and read some negative reviews about the blade not working. But I tend to go with positive reviews if they outweigh the negative ones, but from now on, I will definitely reconsider buying anything with negative reviews, and the Baby Brezza purchase has actually discouraged me from buying anything from Amazon that is expensive and can be broken, as you cannot return the product after 30 days.  I bought the BB in February 2012 and should have returned it right away after I had some problems from the beginning, but I was too excited to use it so I did not.  1. The cover never fit quite right. The manual said that the blade has two positions, up for steaming and down for blending, and obviously up if you are going to steam/blend but it did not seem like the blade had 2 positions and I always had to readjust the cover to make it fit, turning the blade slightly down from the up position so the cover would close and lock.  2. I bought the grain basket accesory and it never fit! The cover just would not close, it was much too tall! That should have been the final indication that I had a defective BB but it was so much trouble to return the product to Customer Service and I just played phonetag with them!  I was still able to use it for the purposes I wanted, to steam and blend fruits and veggies so I just kept using it for a while til the final third thing happened!  3. The whole thing just broke! The driveshaft and blade just popped off one time! Blade just would not turn!  Called customer service. Terrible experince except for one rep that was really nice whom I had been playing phonetag with. Before I talked to the rep I really liked, the two I spoke with including the manager were rude and unhelpful. Granted, I called when I was upset and was probably mean myself but I thought customer service people's job is to make the customer happy, which I learned at 14 years old at my first job at a restaurant. They argued with me, displayed frustration even mild anger with their voice as well as impatience when I asked if I can get a full refund. They said I would have to return the product and wait for it to be inspected, and maybe I will get a refund. They also said that I could not get a refund on the grain basket as they do not give refunds for accesories and the first rep even argued with me asking if I had left the blade in when I put in the grain basket, which is impossible to do if you wanted to put in the grain basket at the same time.  So I asked to speak with the rep I had been playing phonetag with, and she was really nice, patient, and tried to keep her customer happy. She offered to send a new Baby Brezza without me sending in the broken one, a new grain basket that she said she would make sure it fit, and another free accesory of my choice. The new BB along with the other two products came quickly, few days and so I was a happy customer again!  The new one I received is different from the one I originally bought. The blade was a different color, more brown instead of orange, the driveshaft lock at the bottom of the pitcher was configured diffrently, and the blade had 2 definite positions, up and down, the cover fit perfect, and the grain basket fit. But guess what!  4. This time the blade was broken. It still works but the top part that twists comes off, which I didnt think was a big deal as it still worked but when I was cleaning it, the bottom with the blade part fell off and almost hit my dog! I checked the old BB i had and the top of the blade did not come off so...  I called the nice rep again. She sent me a new pitcher, driveshaft, and blade. She didn't send me any new accessories for my trouble when I asked, but she was still very nice. I did tell her that this new BB is a lot better than my first one and she said the one I have is from a different line, so their product is not even standard!  5. Got it the mail today, the top of the blade still came off! I left a message with the nice rep again but this is now ridiculous. My baby is one year old and I donT even use it as much anymore!  So hence, why I am writing this review. Save your money and trouble and get a steamer and a handheld blender to make babyfood. Oh, I used the grain basket to make small sized pasta like it suggests, not big size pasta. It came out like paste, all stuck together!  And I made same pasta in a saucepan in 5 mins and it was fine. Grain basket took 25 mins and pasta was one solid, pasty mess when it was done! So just boil pasta in a saucepan.  Originally gave  it two stars for the nice rep but changing it to one star. If it was not so cheap and a poorly made product with all the malfunctions, I would have been happy with it. Should have gotten the Beaba fron William and Sonoma, maybe they at least would take back a broken product without me packing it in a box, going to usps, spending money, to get my $100 back! Or they should only charge $40 for the BB, not $100 or have the accesories go with it for free! I guess that is what you may get with products made in China.  Addendum: my husband just told me that he noticed there is water leaking in the back when it is on steam mode, when the first one did not do that. It seems like the second BB we have has a new set of problems. When I decided to buy the Brezza earlier this year (2012) there were only a few one star reviews compaining it did not work. I just read the current ones and there are so many one star reviews complaining of the same defects I experienced or different ones that really scare me like oil leaking that I donot want to use this product anymore. I would not have bought it if  I was reading the same reviews back when I decided to buy it. I am goIng to call Amazon to see if they can issue me the refund. It is near impossible to get a live person on the Brezza customer service and they do call back, but it takes a while and it is so incovenient. And with a product like this that you use a lot for only a limited amount of time when baby eats babyfood, it is really a rip off to not just send someone a replacement right away. Planning to call Amazon to see if they can take a look of how many complaints there are of this defective product and not sell this product anymore. It is a disservice to loyal customers of amazon. Makes me want to stick to brick and mortar stores so you don't have the inconvenience and frustration of not getting a refund or a replacement immediately. Maybe for some people, $100 is nothing but for us, $100 was an investment of a product I was planning to use well into my baby's toddler years to sneak in pureed vegetables in their spaghetti sauce like the BB site advertises. Cannot do that with a poorly made product that is only on warranty for a year!"
1.0,Tastes like eating margarine,"I bought based on all the positive reviews.  The first couple of truffles I thought tasted pretty good but after the 3rd or 4th, I rapidly lost my appetite for it.  The rest of my family lost interest after one or two as well and no wants to eat anymore so I chucked the rest in the trash.  Was anyone actually able to finish an entire box???  Yuck."
5.0,Great Mac & Cheese,I love this product. Great taste and I like being able pronounce (and know)all of the ingredients.
1.0,:(,I just got this coffee a few days ago. I had coffee with this bean yesterday and today morning. I can't like this coffee even if I'm trying so hard to like this coffee.
5.0,Cowabunga!,"Our little rat terrier can usually make a ten minute snack out of the biggest rawhide treats. This thing has kept him very busy for three to four days on a refil, and the main ingredients are not nearly as likely to clog his pipes.  The inserts force him to clean his teeth, and he cannot put it down. Does not seem to even be interested in chewing the container. Looks hocus, but I tell you, this thing is GRREat!"
5.0,great tasting,"Great tasting, mild brew,great way to start your mornings.I would recommend this product to all tea drinkers.Try it you will like it."
5.0,Rave Review!,"What's there not to like??  I am not a ""chip"" person usually, but was looking for something yummy that would do justice to my homemade hummus.  These fit the bill!  Nutty, crunchy, full of flavor, fiber-rich.....even provide a protein punch with 4g per bag.  Will put these babies on subscribe and save!"
5.0,The BEST sugar replacement on the market!,"I've been using Fat to Skinny Zero since it was first introduced. It's the first non-sugar sweetener that actually tastes like SUGAR! It's a remarkable product - I would not steer you wrong. There is absolutely NO AFTERTASTE! It doesn't give you a tummy ache like some sweetener products can, and the food prepared with it tastes like it was made with regular sugar. My mouth is SO HAPPY!  I use it for candy, cream-cheese cake frosting, beverages, cakes, desserts - anywhere regular sugar can be used. I keep a bottle in my purse and use it on the road as well. (Don't leave home without it!) It's a keeper!"
5.0,Cheap and tastes great,"I was expecting this to taste horrid based on other reviews, but it really does taste good compared to other protein powders. It's not an earthy or ""green"" taste like some people are saying, much more similar to the taste of sunflower seeds. I've used soy, rice and pea protein powders in the past and this hemp protein definitely tastes and mixes better than other products I have used.  I definitely recommend this product to anyone lookng for a better tasting, easier to digest alternative to other protein powders."
5.0,Taste great!,This product is cheaper than if you can find it in the stores. It's easy to make and taste great for adding flavor to foods or just use as gravy.
5.0,My Favorite,"I have been buying this item ever since I first purchased it at Costco a few years ago. Costco stopped selling this procuct and then I turned to Amazon. This oatmeal is far better than the store brands or Quaker Oats. It does have some added sugar, but it is not too sweet. Great Oatmeal."
5.0,Better than most,"Pure protein, no sweeteners or flavors but tastes great. It tastes like malted milk w/o the sugar. That most protein powders are sweetened flies in the face of trying to be healthy. You don't need the additives and you certainly don't need to train your body to always crave sweets. The best part is that, without any flavoring added, Jarrow's Whey Protein tastes delicious with plain milk."
5.0,green tea for weight loss,"I have never taken a green tea supplement before this one, and my experience with it has been pretty good.  The good news is that I did not feel any negative side effects but I was taking this for weight loss and I did not lose very much weight at all while on this.  When I began taking raspberry ketones along with the green tea,  Green Tea Extract 60 Capsules (500mg) + FREE 25 Grams Raspberry Ketones Powder , this is when I started to actually lose weight.  I read an article that said taking them together created synergistic weight loss effects, and so far I have lost six pounds in the past 17 days compared to just a couple pounds when I took the green tea on its own.  There are a lot of good health benefits to be had by taking green tea on its own too but for energy and weight loss, adding raspberry ketones to the mix has been great."
5.0,"Buffy loves 'em, no sugar, last awhile","These are supposed to help with dental health - I'm not sure about that, but they don't have added corn syrup or sugar, and they take a few minutes to chow down. Buffy, Princess of Goldens, loves these and takes each daily treat out to the front yard to roll on before consuming - high praise from her. My vet recommended them over the usual grain, fat, and corn syrup based treats. This is one of the few treats I'm comfortable with giving daily, it's not doggie junk food."
1.0,Horrible After Taste,"This product taste strongly of salt substitute.  I was looking for a low sodium product, which this is, but it was a waste of money, as we hated the taste.  Yuck."
1.0,Terrible,"I am by no means a coffee expert, but you would have to have a string of mental conditions to prefer this ""coffee"" over mud in a cup.  The taste is terrible at best, no amount of sugar and cream added makes it more tolerable, and quite honestly, there is a reason why Via sells better.  IT TASTES BETTER.  For several reasons I might add.  You can get it in a variety of flavors, so finding one you truly enjoy isn't difficult at all (unlike Taster's Choice), Starbuck's spent an incredible amount of time and effort perfecting the instant coffee while Nestle appears to have pulled theirs outta their lower back.  Long story short....if you like coffee, don't even try to settle for this.  If, however, you have no love for coffee, and are solely interested in a bit of caffeine, I guess this would suffice, but honestly there are less disgusting ways to get it (apples for example)."
1.0,just found out,"it is sold for less than $3 in the supermarket, but here, more than $11?! just found out about it a few days ago. people don't make the same mistake in the future"
5.0,coconut oil =),"iuse this to deep condition my hair, and it makes it SUPER soft =) im starting to run low, so im going to go ahead and order more =)"
1.0,What you see is NOT what you get!,"Seriously???? I ordered the Oceanspay 10 count White Cran peach.... I was sent 6 boxes of the 10 count powdered drink tubes.  The advertisement featured larger product one could use to make a 2 gallon batch. I can buy boxes of powdered tubes at Kroger for 2.50... essentially, I paid $26 for what I would have paid either $21(not on sale) or $15(on sale).....NEITHER Of which is what I actually believed I was purchasing because I wanted the 2 gallon container mix.... not the product use for bottled water tubes."
5.0,GOOD STUFF,I love Goldfish - you can eat a little or a lot - plus this size will last me for a long time.
5.0,Great product!,"I was a little hesitant about ordering this product as I had seen a few of the reviews mention flimsy packaging and older/dated versions of the product.  But, my food co-op stopped carrying oat bran in their bulk section and the stuff at the grocery store is prohibitively expensive, so online shopping it is!  When it arrived, I found the packaging to be just fine--no spilling or ripping, and I have been able to use the original packaging as the default storage container with no problems.  As far as taste, it tastes like any other oat bran I've tried.  Which is to say, it's pretty bland, and a good vehicle for other tastes. I like to add nuts, chopped apples, and a bit of cinnamon to mine.  I haven't noticed any bad taste or aftertaste.  Will probably buy again when this supply runs out!"
5.0,Best Herbal Tea Ever,"I have been drinking Celestial Seasonings herbal teas for as long as I can remember, and I have always found them to be pleasantly flavored.  A few years ago, my supermarket had the Gingerbread Spice flavor on the shelf in November - I had never heard of it, but it looked good (who can resist a tea with cookies on the box?), so I tried it.  I LOVED it.  Pleasantly flavored would have been a vast understatement - this tea is DELICIOUS.  And it smells wonderful.  It takes me quite a while to consume 20 tea bags, so some time passed before I was ready to restock.  Much to my dismay, the supermarket only carries this flavor during November and December!  I had to wait until the holiday season to get it again.  Imagine my joy at discovering that Amazon now offers Gingerbread Spice all year round!  What a happy surprise!  Now I can drink my favorite tea whenever I want it.  I enjoy Gingerbread Spice with milk, but find that it is quite sweet enough without adding any additional sugar.  I highly recommend it to anyone who enjoys herbal tea."
1.0,Not what we wanted,Recieved the order twice but got the Gluten free style. Hate the taste and want the regular old Nances Mustard we grew up loving.
1.0,Doesn't taste all that good,Pro- It was on sale so it was pretty cheap.  Con- Taste is weak and very light. No real flavor.
5.0,AMAZING,"These are so delicious, I had to buy lots of them.  Regular BBQ sunflower seeds are just coated in stuff and the flavor disappears after they've been in your mouth for 2 seconds.  These are actually soaked in amazing flavor, so you actually taste BBQ (and a little kick of Jim Beam).  SO DELICIOUS!!"
5.0,"Rich, sweet, full-bodied coffee from a k-cup","Despite giving Emeril's Big Easy Bold five stars, I think it only fair to open with a couple of negative points. First, if you're looking for authentic New Orleans style coffee, you'll likely be disappointed by the lack of chicory root. Frankly, I doubt that most coffee drinkers will mourn the lost chicory. Second, this coffee is a concentrated dark roast; if you're fan of light roasts and mild coffees, this variety will probably taste ashy and too strong.  We just started using our Keurig B40 last week, and the first few k-cups I tried were disappointingly watery. The Emeril's Big Easy Bold is one of the few blends I've found that provides a full-bodied cup of coffee without any harsh overtones and without any nasty, bitter after-taste. Made with a single varietal (Colombian-grown arabica), Emeril's Big Easy Bold brews up with a rich cocoa aroma and a thin trace of crema. The flavor includes caramel, chocolate, and fruity notes with a hint of pepperiness, but the chocolate note lingers in the finish.  I don't add sugar or cream to my coffee, but I doubt that either addition would detract from the overall experience. Excellent with scones."
1.0,Worst food experience ever.,"I bought this sauce at a local grocery store eager to make a pesto dish. I opened it hearing the pop, meaning it was properly sealed, and lo and behold inside was a LIVE beetle. Threw the bottle away. Makes me shudder how many other jars are infested with bugs and larva."
5.0,Awesome stuff,I've been drinking this for years.  This is a great way to order it - much cheaper than buying in the local grocery store.
5.0,"Excellent, But The Cost is Too High.","San Diego tap water smells a bit and leaves a lot of white crud in the glass if evaporated dry. But, what the hey? Why should I buy supplemental minerals if Colorado River water already contains a good variety? In any case, the city says it's safe and I know of no problems. Well, my wife feels differently about such matters. She's from Europe and nobody there supposedly drinks tap water. Disgusting. Drinking water must come in a bottle and be collected from some important and well-known springs. Besides, she seems to have elevated senses in taste, smell, sight, hearing and all other senses. In any case, to keep peace in the household, I agreed that we would drink bottled water. We gradually settled in on Kirkland Signature bottled water. The price was right! Well, now even that isn't good enough. My wife seems to have discovered Fiji Natural Artesian Water which comes in attractive rectangular bottles and is imported all the way from the South Pacific. It costs several times as much as regular brands, but that's part of the appeal. It's the best, she claims. It's so smooth and goes down so easy, she says. Now other bottled waters, although OK, are not nearly as good. No, Fiji Natural Artesian Water is the water for her. I must admit that it's excellent, but the cost is way too high.  Gary Peterson"
5.0,Outburst Energy Bites,"I absolutely love Outburst Energy Bites. The Chocolate Mint flavor is delicious! Definitely recommend. I usually pop a few in the mid-afternoon when I am getting tired and they actually work to help me get through the day. They are also great for working out, for a little extra boost."
